obj_basic_test_waterfall,816,784,8FDAE011,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,816,207DAF1C,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,848,CD3B8162,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,752,939EC605,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,720,A8A9B64F,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,688,53F9F0E0,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,656,5638C315,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,624,BF8C1655,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,592,CB41A17B,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,560,2C9555D7,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,528,E3B93DB7,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,496,F2BC51CD,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,464,C9FA6CA7,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,432,AB3452B8,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,400,C0A77545,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,368,55D9913C,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,336,D415F283,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,304,7A651D95,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,272,8A321EBE,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,240,88C143AE,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,208,5E0907A6,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,176,D847F209,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,144,D09DB8C4,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,112,F45D7877,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,80,C8406D75,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,48,DF77E1DD,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_waterfall,816,16,8FF6AF1B,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_03,0,576,798F4BF2,0,4.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_05,480,576,3EA12BDA,0,-1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_06,576,600,27D53BF4,0,-1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_01,384,624,1F964BD5,0,4.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_18,864,576,E1905F1E,0,2.00000000,1.00000000,2164260863,0.00000000,1
obj_basic_test_mask_03,672,672,60369AF0,0,1.00000000,3.00000000,4294967295,0.00000000,0
obj_basic_test_mask_03,768,864,F8340F0E,0,4.00000000,1.00000000,4294967295,0.00000000,0
obj_dash_ring,1152,488,4F811B96,0,1.00000000,1.00000000,4294967295,0.00000000,1
obj_spring,1424,752,563D7D29,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_player_spawn,240,560,3BD57922,0,1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_05,1248,864,D0FD3A59,0,-1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_06,1344,888,841C9D27,0,-1.00000000,1.00000000,4294967295,0.00000000,0
obj_basic_test_mask_01,1152,912,17E6AB6D,0,4.00000000,1.00000000,4294967295,0.00000000,0
